model_name,split,scope,n,stratum_column,stratum_value,selected_alpha,validation_RMSE,RMSE,MAE,R2,NSE,Top10% MAE
misaligned_swat,train,by_state_label,125,state_label,S1,20.0,0.16962831084949329,0.07052322005103412,0.055534475217066066,0.9507533332058019,0.9507533332058019,0.10619531259838894
misaligned_swat,train,by_state_label,82,state_label,S2,20.0,0.16962831084949329,0.09981658869110535,0.07391800386090855,0.8613718662723627,0.8613718662723627,0.10773262103575636
misaligned_swat,train,by_state_label,44,state_label,S3,20.0,0.16962831084949329,0.09873163141190265,0.07721827524459383,0.8635058623943344,0.8635058623943344,0.06370169434880313
misaligned_swat,train,by_storm_window_3d,16,storm_window_3d,no,20.0,0.16962831084949329,0.0517547763728105,0.04368081060328951,0.9556651301160314,0.9556651301160314,0.06887698394611208
misaligned_swat,train,by_storm_window_3d,235,storm_window_3d,yes,20.0,0.16962831084949329,0.08811833473964926,0.0668161568503713,0.9161346074088277,0.9161346074088277,0.1031764040432895
misaligned_swat,train,by_mechanistic_window,251,mechanistic_window,yes,20.0,0.16962831084949329,0.08625900323934736,0.06534139374298761,0.9203427062343825,0.9203427062343825,0.10117498227591712
misaligned_swat,train,by_direction,52,direction,neutral,20.0,0.16962831084949329,0.05970088984151649,0.04700939979233122,0.9544388748460604,0.9544388748460604,0.05325680731645299
misaligned_swat,train,by_direction,199,direction,outflow,20.0,0.16962831084949329,0.09194318544792786,0.07013166351903852,0.9104533202506493,0.9104533202506493,0.10113737483670035
misaligned_swat,valid,by_state_label,23,state_label,S1,20.0,0.16962831084949329,0.1042250120757324,0.0688499969206998,0.7228666046369678,0.7228666046369678,0.16210275135370575
misaligned_swat,valid,by_state_label,1,state_label,S2,20.0,0.16962831084949329,0.05492591527888435,0.05492591527888435,,,0.05492591527888435
misaligned_swat,valid,by_state_label,4,state_label,S3,20.0,0.16962831084949329,0.29174571462949334,0.1818323175886003,-59.33355449560423,-59.33355449560423,0.5746651733631292
misaligned_swat,valid,by_storm_window_3d,3,storm_window_3d,no,20.0,0.16962831084949329,0.1273841190557987,0.11964309315445387,0.022114395976918888,0.022114395976918888,0.10278383357887089
misaligned_swat,valid,by_storm_window_3d,25,storm_window_3d,yes,20.0,0.16962831084949329,0.14760007928119057,0.08027503341384078,0.690223177689109,0.690223177689109,0.337645260139321
misaligned_swat,valid,by_mechanistic_window,28,mechanistic_window,yes,20.0,0.16962831084949329,0.14556843339844977,0.08449303981462074,0.6747245649890956,0.6747245649890956,0.337645260139321
misaligned_swat,valid,by_direction,4,direction,neutral,20.0,0.16962831084949329,0.06678238674865869,0.05046282013583592,0.2731479537975626,0.2731479537975626,0.060710205921823635
misaligned_swat,valid,by_direction,24,direction,outflow,20.0,0.16962831084949329,0.15485008580059234,0.09016474309441823,0.6366474429236145,0.6366474429236145,0.337645260139321
misaligned_swat,test,by_state_label,13,state_label,S1,20.0,0.16962831084949329,0.17239128867188316,0.13059977712734078,0.64787899933814,0.64787899933814,0.09588919420097719
misaligned_swat,test,by_state_label,32,state_label,S2,20.0,0.16962831084949329,0.1383380731863596,0.10528280123343801,0.7612689025272806,0.7612689025272806,0.1687826307743966
misaligned_swat,test,by_state_label,5,state_label,S3,20.0,0.16962831084949329,0.10647224792242596,0.09146733410305452,0.8664244647910091,0.8664244647910091,0.1720888061064647
misaligned_swat,test,by_storm_window_3d,16,storm_window_3d,no,20.0,0.16962831084949329,0.11811726039920614,0.0989466865975094,0.8247747605033684,0.8247747605033684,0.07541654331953618
misaligned_swat,test,by_storm_window_3d,34,storm_window_3d,yes,20.0,0.16962831084949329,0.15644920766850487,0.11591283609060496,0.7340330483306169,0.7340330483306169,0.19552527413563925
misaligned_swat,test,by_mechanistic_window,50,mechanistic_window,yes,20.0,0.16962831084949329,0.14528751157555989,0.11048366825281439,0.760349391407992,0.760349391407992,0.16194216770286793
misaligned_swat,test,by_direction,7,direction,neutral,20.0,0.16962831084949329,0.10680383449157359,0.0881193401074021,0.4739446087344291,0.4739446087344291,0.13263826907023502
misaligned_swat,test,by_direction,43,direction,outflow,20.0,0.16962831084949329,0.15062456311284309,0.11412437283462572,0.725413251590254,0.725413251590254,0.16194216770286793
