date,site,target_tn_day,n_obs_day,std_day,mask_y
2023-06-12,排水闸,1.1766666666666667,6,0.08439325934114773,1
2023-06-13,排水闸,1.3133333333333332,6,0.0531245915016974,1
2023-06-14,排水闸,1.2433333333333334,6,0.05343739847293804,1
2023-06-15,排水闸,1.105,4,0.04499999999999995,1
2023-06-16,排水闸,1.2366666666666666,3,0.004714045207910321,1
2023-06-17,排水闸,1.18,1,0.0,1
2023-06-19,排水闸,1.3175,4,0.04815340071064551,1
2023-06-20,排水闸,1.228,5,0.1423235749972575,1
2023-06-21,排水闸,1.122,5,0.08158431221748454,1
2023-06-22,排水闸,1.2025,4,0.01920286436967154,1
2023-06-25,排水闸,1.3225,4,0.07529110173187797,1
2023-06-26,排水闸,1.4033333333333333,6,0.23285665595430635,1
2023-06-27,排水闸,1.6116666666666666,6,0.14345924702003549,1
2023-06-28,排水闸,1.7183333333333335,6,0.07151145984308317,1
2023-06-29,排水闸,1.7249999999999999,6,0.045368858629387374,1
2023-06-30,排水闸,1.7366666666666666,6,0.11556623882239811,1
2023-07-01,排水闸,1.5483333333333336,6,0.02544056253745627,1
2023-07-02,排水闸,1.4683333333333335,6,0.04879093722768153,1
2023-07-03,排水闸,1.485,6,0.0485626742811116,1
2023-07-04,排水闸,1.8633333333333333,6,0.061824123303304675,1
2023-07-05,排水闸,1.86,6,0.099498743710662,1
2023-07-06,排水闸,1.7366666666666666,6,0.055876848714134085,1
2023-07-07,排水闸,1.81,5,0.14127986409959484,1
2023-07-08,排水闸,1.9366666666666665,6,0.07015855059949722,1
2023-07-09,排水闸,1.9383333333333332,6,0.06718548123582122,1
2023-07-10,排水闸,1.9649999999999999,6,0.0631796380700828,1
2023-07-11,排水闸,1.9733333333333334,6,0.03144660377352197,1
2023-07-12,排水闸,1.99,6,0.04618802153517009,1
2023-07-13,排水闸,2.015,6,0.052836224947157895,1
2023-07-14,排水闸,2.045,6,0.06396613687465169,1
2023-07-15,排水闸,2.0,6,0.04434711565216694,1
2023-07-16,排水闸,1.9583333333333333,6,0.049469406932186044,1
2023-07-17,排水闸,1.9233333333333331,6,0.04189935029992177,1
2023-07-18,排水闸,1.9383333333333332,6,0.04487637339278758,1
2023-07-19,排水闸,1.9166666666666667,6,0.03197221015541816,1
2023-07-20,排水闸,1.865,6,0.020615528128088267,1
2023-07-21,排水闸,1.9066666666666665,6,0.06798692684790371,1
2023-07-22,排水闸,1.9583333333333333,6,0.06413960468297948,1
